state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_day,charge_per_min_eve,charge_per_min_night,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
VA,76,510,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,568.2,239,57.800000000000004,578.2,244,60.50000000000001,0.48863636363636365,0.2783076923076923,0.06907407407407408,0.24184100418410043,0.54,1.7295053614666205,0.4098360655737705,South
TX,73,415,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,576.7,252,60.39,589.7,254,63.9,0.42388888888888887,0.15409090909090908,0.11729729729729729,0.23964285714285716,1.755,2.204510768187214,0.39370078740157477,South
FL,147,415,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,603.5999999999999,343,56.14,614.1999999999999,347,59.0,0.2253846153846154,0.21903225806451615,0.07067669172932331,0.1636734693877551,0.715,1.7258222077499188,0.0,South
CO,77,408,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,441.9,274,34.48,447.59999999999997,280,36.019999999999996,0.1192134831460674,0.11933884297520661,0.14734375,0.12583941605839416,0.25666666666666665,1.2734584450402147,1.7857142857142856,West
AZ,130,415,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,437.70000000000005,289,45.49,447.20000000000005,308,48.06,0.2777678571428571,0.06262626262626263,0.10487179487179486,0.15740484429065746,0.13526315789473684,2.1243291592128797,0.0,West
SC,111,415,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,437.3,310,38.97,445.0,316,41.05,0.18223300970873785,0.11441176470588235,0.08123809523809523,0.12570967741935485,0.3466666666666667,1.7303370786516854,0.6329113924050633,South
VA,132,510,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,563.3,273,45.3,573.5999999999999,275,48.08,0.16034883720930232,0.28944444444444445,0.09278260869565218,0.16593406593406593,1.39,1.7956764295676435,0.0,South
NE,174,415,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,652.1,303,55.96,667.6,308,60.15,0.2780263157894737,0.21026785714285715,0.09808695652173913,0.1846864686468647,0.8380000000000001,2.3217495506291193,0.974025974025974,Midwest
WY,57,408,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,586.8,342,60.67,596.3,345,63.24,0.3148695652173913,0.145,0.07147826086956523,0.17739766081871344,0.8566666666666666,1.593157806473252,0.0,West
MT,54,408,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,391.9,241,40.64,406.59999999999997,245,44.61,0.31273972602739725,0.1322,0.0675,0.16863070539419087,0.9925,3.615346778160354,1.2244897959183674,West
MO,20,415,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,629.7,295,62.42,636.0,301,64.12,0.2963302752293578,0.2613095238095238,0.08009803921568627,0.21159322033898306,0.2833333333333333,0.9905660377358491,0.0,Midwest
HI,49,510,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,513.0999999999999,316,46.6,524.1999999999999,317,49.6,0.17333333333333334,0.16770642201834862,0.08933333333333332,0.14746835443037976,3.0,2.117512399847387,0.31545741324921134,West
IL,142,415,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,472.0,306,37.31,486.2,312,41.14,0.15178947368421053,0.18444444444444444,0.07614864864864865,0.12192810457516341,0.6383333333333333,2.9206088029617443,0.641025641025641,Midwest
NH,75,510,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,673.8,310,66.64999999999999,684.0999999999999,315,69.42999999999999,0.3660952380952381,0.16009345794392524,0.11306122448979591,0.21499999999999997,0.5559999999999999,1.5056278321882768,0.31746031746031744,Northeast
LA,172,408,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,536.5,314,51.89,549.1,324,55.29,0.2978512396694215,0.023043478260869565,0.1692307692307692,0.1652547770700637,0.33999999999999997,2.2946639956292114,0.9259259259259258,South
AZ,12,408,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,782.2,327,76.49,794.0,330,79.67999999999999,0.3595762711864407,0.18025210084033613,0.1401111111111111,0.233914373088685,1.0633333333333332,1.486146095717884,0.30303030303030304,West
OK,57,408,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,585.3,285,56.25,593.5999999999999,289,58.49,0.31978723404255316,0.22106666666666663,0.0828448275862069,0.19736842105263158,0.56,1.398247978436658,0.0,South
GA,72,415,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,590.1,253,62.75,604.8000000000001,259,66.72,0.46749999999999997,0.181078431372549,0.09690140845070422,0.24802371541501977,0.6616666666666667,2.4305555555555554,1.1583011583011582,South
AK,36,408,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,438.1,317,44.5,452.6,323,48.42,0.194296875,0.172625,0.05339449541284404,0.14037854889589904,0.6533333333333333,3.2037118868758285,0.0,West
MA,78,415,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,582.3,288,51.5,592.3,293,54.2,0.3475,0.1638793103448276,0.09490740740740741,0.17881944444444445,0.54,1.6883336147222692,0.3412969283276451,Northeast
AK,136,415,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,493.2,312,55.19,503.7,318,58.03,0.3269811320754717,0.1611111111111111,0.04280373831775701,0.17689102564102563,0.47333333333333333,2.084574151280524,0.9433962264150944,West
NJ,149,408,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,600.5,294,55.44,611.6,303,58.44,0.253936170212766,0.2510869565217391,0.07842592592592593,0.18857142857142856,0.3333333333333333,1.8149117069980378,0.33003300330033003,Northeast
GA,98,408,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,480.90000000000003,322,44.099999999999994,490.3,324,46.63999999999999,0.21049019607843136,0.1668235294117647,0.06259259259259259,0.13695652173913042,1.27,1.9171935549663472,0.9259259259259258,South
MD,135,408,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,499.2,270,52.26,513.8,285,56.199999999999996,0.34623529411764703,0.16196261682242988,0.07051282051282051,0.19355555555555554,0.26266666666666666,2.841572596340989,0.0,South
AR,34,510,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,718.5,258,59.22999999999999,728.5,262,61.92999999999999,0.25878048780487806,0.24479591836734693,0.17974358974358973,0.22957364341085268,0.675,1.3726835964310227,0.7633587786259541,South
ID,160,415,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,429.6,279,36.67,438.8,283,39.15,0.18948051948051947,0.12772727272727274,0.08728260869565217,0.1314336917562724,0.62,2.096627164995442,1.0600706713780919,West
WI,64,510,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,645.1,271,57.31,648.6,274,58.260000000000005,0.3907462686567164,0.16262711864406781,0.13883720930232557,0.2114760147601476,0.31666666666666665,0.5396238051187172,0.36496350364963503,Midwest
OR,59,408,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,497.0,305,46.0,505.5,310,48.3,0.21185567010309278,0.19684782608695653,0.06327586206896552,0.15081967213114755,0.45999999999999996,1.6815034619188922,0.6451612903225806,West
MI,65,415,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,508.59999999999997,360,55.800000000000004,521.8,365,59.36000000000001,0.29933333333333334,0.11327868852459017,0.051355932203389826,0.155,0.712,2.5297048677654277,0.821917808219178,Midwest
DE,142,408,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,563.8,334,54.129999999999995,571.1999999999999,339,56.129999999999995,0.23902255639097744,0.1545945945945946,0.08582677165354331,0.16206586826347305,0.4,1.2955182072829134,0.5899705014749262,South
ID,119,415,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,533.5999999999999,322,53.15,542.3999999999999,325,55.53,0.23728070175438598,0.16803418803418804,0.07076923076923078,0.16506211180124222,0.7933333333333333,1.6224188790560479,1.5384615384615385,West
WY,97,415,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,421.0,272,44.28,432.0,275,47.25,0.16770370370370372,0.3182758620689655,0.040253164556962026,0.16279411764705884,0.9900000000000001,2.5462962962962963,0.36363636363636365,West
IA,52,408,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,698.5,291,66.21,706.3,296,68.32,0.302037037037037,0.23885416666666667,0.12252873563218392,0.22752577319587627,0.422,1.1043465949313322,1.0135135135135136,Midwest
IN,60,408,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,680.7,301,66.65,687.5,304,68.49000000000001,0.6578947368421053,0.156,0.08689922480620156,0.22142857142857145,0.6133333333333334,0.9890909090909091,0.3289473684210526,Midwest
VA,10,408,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,659.0999999999999,235,60.540000000000006,670.4999999999999,241,63.620000000000005,0.28250000000000003,0.24500000000000002,0.22333333333333333,0.25761702127659575,0.5133333333333333,1.7002237136465328,0.8298755186721992,South
UT,96,415,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,656.2,252,60.25,665.5,257,62.76,0.23273504273504275,0.33940298507462685,0.15117647058823527,0.2390873015873016,0.502,1.3974455296769348,0.7782101167315175,West
WY,87,415,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,574.6,326,53.52,584.3000000000001,329,56.14,0.30927710843373496,0.16094827586206897,0.07228346456692913,0.1641717791411043,0.8733333333333334,1.660106109875064,1.5197568389057752,West
IN,81,408,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,695.0,250,63.19,705.2,253,65.94,0.44537313432835823,0.24929411764705883,0.12408163265306123,0.25276,0.9166666666666666,1.4463981849120815,0.3952569169960474,Midwest
CO,141,415,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,447.7,288,43.21000000000001,455.7,290,45.370000000000005,0.22010204081632653,0.24677419354838712,0.04953125,0.15003472222222225,1.08,1.7555409260478387,0.3448275862068966,West
CO,121,408,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,454.9,283,48.279999999999994,460.7,286,49.849999999999994,0.26147286821705423,0.08311688311688312,0.10584415584415585,0.1706007067137809,0.5233333333333333,1.2589537660082484,1.048951048951049,West
WI,68,415,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,525.1,337,52.09,537.2,340,55.36000000000001,0.36142857142857143,0.1277439024390244,0.05669902912621359,0.15456973293768547,1.09,2.2524199553239015,0.8823529411764706,Midwest
OK,125,408,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,596.0,324,62.58,608.0,332,65.82,0.37844660194174756,0.11968253968253968,0.08968421052631578,0.19314814814814815,0.405,1.9736842105263157,0.30120481927710846,South
ID,174,408,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,528.6,245,54.599999999999994,540.0,249,57.67999999999999,0.33670103092783504,0.15361702127659574,0.1388888888888889,0.22285714285714284,0.77,2.111111111111111,0.4016064257028112,West
CA,116,415,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,613.1,331,68.28999999999999,624.7,334,71.41999999999999,0.5501204819277108,0.10669014084507042,0.07056603773584906,0.20631419939577036,1.0433333333333332,1.8568913078277571,0.5988023952095809,West
MN,74,510,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,577.8,279,60.06,592.4,282,64.0,0.3618681318681319,0.21791666666666668,0.0675,0.21526881720430108,1.3133333333333332,2.464550979068197,0.7092198581560284,Midwest
SD,149,408,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,634.0,209,58.629999999999995,646.6,212,62.029999999999994,0.33391304347826084,0.249375,0.22547169811320752,0.2805263157894737,1.1333333333333333,1.948654500463965,1.4150943396226416,Midwest
NC,38,408,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,453.1,301,43.3,461.3,307,45.51,0.22755102040816327,0.14278350515463917,0.06745283018867924,0.14385382059800664,0.36833333333333335,1.7775850856275741,0.6514657980456027,South
WA,40,415,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,531.7,264,49.220000000000006,537.9000000000001,269,50.89000000000001,0.3402702702702703,0.16375,0.09441176470588236,0.18643939393939396,0.33399999999999996,1.152630600483361,0.7434944237918215,West
WY,43,415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,622.1,276,67.94999999999999,631.4,280,70.46,0.40723809523809523,0.1739423076923077,0.10597014925373134,0.246195652173913,0.6275,1.4729173265758633,0.0,West
MN,113,408,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,460.90000000000003,351,44.64,469.20000000000005,359,46.88,0.22881720430107527,0.14739495798319327,0.041870503597122306,0.12717948717948718,0.28,1.7689684569479966,0.0,Midwest
UT,126,408,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,582.0,210,61.31999999999999,589.8,211,63.42999999999999,0.5138571428571428,0.2305,0.11516666666666667,0.292,2.11,1.3224821973550356,0.47393364928909953,West
TX,150,510,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,496.6,311,51.47,510.40000000000003,314,55.199999999999996,0.3010891089108911,0.13063636363636363,0.0669,0.1654983922829582,1.2433333333333334,2.7037617554858935,1.2738853503184715,South
NJ,138,408,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,707.6,280,68.89,719.4,287,72.08,0.44204301075268815,0.17457831325301204,0.12778846153846152,0.24603571428571427,0.4557142857142857,1.6402557686961357,1.0452961672473868,Northeast
MN,162,510,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,667.7,242,65.69,679.8000000000001,244,68.96,0.39412371134020613,0.19047619047619047,0.1878688524590164,0.2714462809917355,1.635,1.7799352750809059,0.0,Midwest
NM,147,510,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,570.0,277,62.68,578.0,281,64.84,0.5091566265060241,0.14894117647058824,0.07119266055045871,0.22628158844765342,0.54,1.384083044982699,1.0676156583629894,West
NV,90,415,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,582.5,368,60.709999999999994,589.8,372,62.67999999999999,0.23684931506849313,0.1647008547008547,0.06533333333333334,0.16497282608695651,0.4925,1.2377076975245846,0.2688172043010753,West
HI,85,415,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,581.2,302,61.92,593.2,305,65.16,0.3677981651376147,0.14212765957446807,0.08555555555555557,0.20503311258278145,1.08,2.0229265003371544,0.0,West
MN,50,415,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,561.8,273,53.849999999999994,567.9,275,55.49999999999999,0.2967777777777778,0.26361111111111113,0.07351351351351351,0.19725274725274722,0.825,1.0741327698538476,0.36363636363636365,Midwest
DC,82,415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,751.4000000000001,282,78.59,763.1000000000001,286,81.75,0.46834862385321097,0.1539,0.16643835616438357,0.27868794326241136,0.79,1.5332197614991478,0.0,South
NY,144,408,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,311.7,301,24.81,319.9,308,27.02,0.08948717948717949,0.07705882352941176,0.0786868686868687,0.08242524916943521,0.3157142857142857,2.5633010315723666,1.2987012987012987,Northeast
MN,46,415,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,556.0,289,58.36,564.2,292,60.57,0.5055555555555555,0.1343269230769231,0.07070796460176991,0.20193771626297577,0.7366666666666667,1.453385324353066,0.684931506849315,Midwest
MD,70,408,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,554.0,276,52.41,569.0,278,56.459999999999994,0.29520408163265305,0.12931372549019607,0.13539473684210526,0.18989130434782608,2.025,2.6362038664323375,0.3597122302158274,South
WV,144,415,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,728.6,292,70.07,741.8000000000001,294,73.63,0.34535353535353536,0.34864864864864864,0.08470588235294117,0.2399657534246575,1.78,1.7794553788083038,0.3401360544217687,South
OR,116,415,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,698.7,292,66.56,711.3000000000001,297,69.96000000000001,0.3521153846153846,0.22037974683544304,0.11495412844036697,0.22794520547945207,0.6799999999999999,1.7714044706874734,1.0101010101010102,West
CO,55,408,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,477.4,308,47.629999999999995,488.4,310,50.599999999999994,0.22886178861788617,0.12178947368421053,0.08788888888888889,0.15464285714285714,1.485,2.2522522522522523,0.967741935483871,West
GA,70,415,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,731.9,267,74.51,741.6999999999999,271,77.16000000000001,0.42000000000000004,0.22520408163265307,0.14735294117647058,0.27906367041198504,0.6625,1.3212889308345694,0.36900369003690037,South
TX,106,510,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,651.1999999999999,269,65.59,663.5999999999999,270,68.94,0.3729166666666666,0.24917647058823528,0.09784090909090909,0.24382899628252788,3.35,1.8685955394816156,0.7407407407407408,South
VT,128,510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,728.2,268,64.22,736.8000000000001,275,66.53999999999999,0.29307692307692307,0.22325581395348837,0.1864102564102564,0.2396268656716418,0.3314285714285714,1.1672095548317045,0.0,Northeast
IN,94,408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,502.5,290,48.55,510.5,295,50.709999999999994,0.25561904761904763,0.1304950495049505,0.10154761904761904,0.16741379310344826,0.43200000000000005,1.5670910871694417,1.3559322033898304,Midwest
WV,111,510,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,605.2,292,62.36,617.2,294,65.6,0.308728813559322,0.2331578947368421,0.08377551020408164,0.21356164383561643,1.62,1.9442644199611145,0.3401360544217687,South
KY,74,415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,479.6,245,45.78,490.5,254,48.72,0.2519230769230769,0.12488095238095238,0.15947368421052632,0.18685714285714286,0.32666666666666666,2.2222222222222223,0.7874015748031495,South
NJ,128,415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,694.4,286,70.89,708.3,290,74.64,0.32352,0.22634408602150538,0.13823529411764707,0.24786713286713286,0.9375,1.9624452915431314,0.3448275862068966,Northeast
DC,82,510,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,448.4,260,45.96,459.5,262,48.96,0.4009836065573771,0.15780952380952382,0.05244680851063829,0.17676923076923076,1.5,2.415669205658324,0.38167938931297707,South
LA,155,415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,590.3,323,59.63,599.1999999999999,327,62.03,0.3458,0.15605769230769231,0.07411764705882354,0.18461300309597525,0.6,1.4853137516688921,0.0,South
AR,80,415,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,550.5,269,47.230000000000004,558.4,278,49.36000000000001,0.2113,0.1374766355140187,0.18370967741935484,0.17557620817843866,0.23666666666666666,1.4147564469914042,0.3597122302158274,South
ME,78,415,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,695.2,310,70.03,704.7,317,72.6,0.46225806451612905,0.13535714285714287,0.11314285714285716,0.2259032258064516,0.3671428571428571,1.3480913864055626,0.9463722397476341,Northeast
