state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_minutes_dom,total_calls_dom,total_charge_dom,total_minutes,total_calls,total_charge,charge_per_min_dom,charge_per_min_int,%_int_min,call_satisfaction,region
IN,65,415,no,no,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,566.4000000000001,331,165.82000000000002,579.1000000000001,337,169.25000000000003,0.5009667673716013,0.5716666666666667,0.021930581937489202,0.011869436201780416,Midwest
RI,74,415,no,no,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,547.1,369,149.70999999999998,556.2,374,152.17,0.4057181571815718,0.492,0.016361021215390147,0.0,Northeast
IA,168,408,no,no,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,374.8,295,111.27,386.0,297,114.28999999999999,0.3771864406779661,1.51,0.029015544041450774,0.003367003367003367,Midwest
MT,95,510,no,no,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,596.5,278,117.7,608.8,283,121.02,0.42338129496402876,0.6639999999999999,0.02020367936925099,0.01060070671378092,West
IA,62,415,no,no,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,630.9,245,105.25,644.0,251,108.79,0.42959183673469387,0.59,0.020341614906832298,0.01593625498007968,Midwest
NY,161,415,no,no,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,811.3000000000001,292,101.24000000000001,816.7,301,102.7,0.3467123287671233,0.1622222222222222,0.006611975021427697,0.013289036544850499,Northeast
ID,85,408,no,yes,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,566.5999999999999,304,166.9,580.3999999999999,308,170.63,0.5490131578947368,0.9325,0.023776705720192977,0.003246753246753247,West
VT,93,510,no,no,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,538.5,346,138.38000000000002,546.6,349,140.57000000000002,0.39994219653179197,0.73,0.014818880351262349,0.008595988538681949,Northeast
VA,76,510,no,yes,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,568.2,239,91.55,578.2,244,94.25,0.38305439330543933,0.54,0.017295053614666205,0.004098360655737705,South
TX,73,415,no,no,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,576.7,252,112.24000000000001,589.7,254,115.75000000000001,0.44539682539682546,1.755,0.022045107681872136,0.003937007874015748,South
FL,147,415,no,no,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,603.5999999999999,343,146.77,614.1999999999999,347,149.63000000000002,0.42790087463556853,0.715,0.017258222077499188,0.0,South
CO,77,408,no,no,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,441.9,274,112.87,447.59999999999997,280,114.41000000000001,0.4119343065693431,0.25666666666666665,0.012734584450402146,0.017857142857142856,West
AZ,130,415,no,no,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,437.70000000000005,289,126.38,447.20000000000005,308,128.95,0.4373010380622837,0.13526315789473684,0.0212432915921288,0.0,West
SC,111,415,no,no,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,437.3,310,123.2,445.0,316,125.28,0.39741935483870966,0.3466666666666667,0.017303370786516854,0.006329113924050633,South
VA,132,510,no,no,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,563.3,273,117.51,573.5999999999999,275,120.29,0.43043956043956044,1.39,0.017956764295676435,0.0,South
NE,174,415,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,652.1,303,110.83,667.6,308,115.02,0.36577557755775575,0.8380000000000001,0.02321749550629119,0.00974025974025974,Midwest
WY,57,408,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,586.8,342,139.46,596.3,345,142.03,0.4077777777777778,0.8566666666666666,0.01593157806473252,0.0,West
MT,54,408,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,391.9,241,90.81,406.59999999999997,245,94.78,0.376804979253112,0.9925,0.03615346778160354,0.012244897959183673,West
MO,20,415,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,629.7,295,139.11999999999998,636.0,301,140.81999999999996,0.471593220338983,0.2833333333333333,0.00990566037735849,0.0,Midwest
HI,49,510,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,513.0999999999999,316,143.32,524.1999999999999,317,146.32,0.45354430379746835,3.0,0.021175123998473867,0.0031545741324921135,West
IL,142,415,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,472.0,306,117.89,486.2,312,121.72,0.3852614379084967,0.6383333333333333,0.029206088029617442,0.00641025641025641,Midwest
NH,75,510,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,673.8,310,133.21,684.0999999999999,315,135.99,0.42970967741935484,0.5559999999999999,0.015056278321882768,0.0031746031746031746,Northeast
LA,172,408,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,536.5,314,136.85,549.1,324,140.25,0.435828025477707,0.33999999999999997,0.022946639956292113,0.009259259259259259,South
AZ,12,408,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,782.2,327,152.06,794.0,330,155.25,0.46501529051987767,1.0633333333333332,0.014861460957178841,0.0030303030303030303,West
OK,57,408,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,585.3,285,120.19,593.5999999999999,289,122.42999999999999,0.42171929824561405,0.56,0.01398247978436658,0.0,South
GA,72,415,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,590.1,253,105.35,604.8000000000001,259,109.32,0.41640316205533595,0.6616666666666667,0.024305555555555552,0.011583011583011582,South
AK,36,408,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,438.1,317,147.63,452.6,323,151.54999999999998,0.4657097791798107,0.6533333333333333,0.032037118868758284,0.0,West
MA,78,415,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,582.3,288,93.26,592.3,293,95.96000000000001,0.32381944444444444,0.54,0.01688333614722269,0.0034129692832764505,Northeast
AK,136,415,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,493.2,312,126.53,503.7,318,129.37,0.4055448717948718,0.47333333333333333,0.02084574151280524,0.009433962264150943,West
NJ,149,408,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,600.5,294,125.57,611.6,303,128.57,0.42710884353741496,0.3333333333333333,0.01814911706998038,0.0033003300330033004,Northeast
GA,98,408,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,480.90000000000003,322,124.63000000000001,490.3,324,127.17000000000002,0.3870496894409938,1.27,0.019171935549663472,0.009259259259259259,South
MD,135,408,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,499.2,270,107.83,513.8,285,111.77,0.3993703703703704,0.26266666666666666,0.02841572596340989,0.0,South
AR,34,510,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,718.5,258,120.00999999999999,728.5,262,122.71,0.4651550387596899,0.675,0.013726835964310227,0.007633587786259542,South
ID,160,415,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,429.6,279,99.08,438.8,283,101.56,0.35512544802867385,0.62,0.02096627164995442,0.01060070671378092,West
WI,64,510,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,645.1,271,98.13,648.6,274,99.08,0.3621033210332103,0.31666666666666665,0.005396238051187172,0.0036496350364963502,Midwest
OR,59,408,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,497.0,305,122.45,505.5,310,124.75,0.40147540983606556,0.45999999999999996,0.016815034619188922,0.0064516129032258064,West
MI,65,415,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,508.59999999999997,360,139.88,521.8,365,143.44,0.38855555555555554,0.712,0.025297048677654276,0.00821917808219178,Midwest
DE,142,408,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,563.8,334,155.34,571.1999999999999,339,157.34,0.4650898203592814,0.4,0.012955182072829134,0.0058997050147492625,South
ID,119,415,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,533.5999999999999,322,140.1,542.3999999999999,325,142.48,0.43509316770186335,0.7933333333333333,0.01622418879056048,0.015384615384615385,West
WY,97,415,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,421.0,272,156.64000000000001,432.0,275,159.61,0.5758823529411765,0.9900000000000001,0.02546296296296296,0.0036363636363636364,West
IA,52,408,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,698.5,291,141.59,706.3,296,143.70000000000002,0.4865635738831615,0.422,0.011043465949313323,0.010135135135135136,Midwest
IN,60,408,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,680.7,301,86.15,687.5,304,87.99000000000001,0.28621262458471763,0.6133333333333334,0.00989090909090909,0.003289473684210526,Midwest
VA,10,408,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,659.0999999999999,235,140.9,670.4999999999999,241,143.98000000000002,0.5995744680851064,0.5133333333333333,0.01700223713646533,0.008298755186721992,South
UT,96,415,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,656.2,252,150.02,665.5,257,152.53,0.5953174603174604,0.502,0.013974455296769347,0.007782101167315175,West
WY,87,415,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,574.6,326,110.85,584.3000000000001,329,113.47,0.34003067484662575,0.8733333333333334,0.01660106109875064,0.015197568389057751,West
IN,81,408,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,695.0,250,100.35,705.2,253,103.1,0.4014,0.9166666666666666,0.014463981849120814,0.003952569169960474,Midwest
CO,141,415,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,447.7,288,119.64,455.7,290,121.8,0.41541666666666666,1.08,0.017555409260478386,0.0034482758620689655,West
CO,121,408,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,454.9,283,143.55,460.7,286,145.12,0.507243816254417,0.5233333333333333,0.012589537660082483,0.01048951048951049,West
WI,68,415,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,525.1,337,96.79,537.2,340,100.06,0.28721068249258164,1.09,0.022524199553239015,0.008823529411764706,Midwest
OK,125,408,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,596.0,324,126.6,608.0,332,129.84,0.3907407407407407,0.405,0.019736842105263157,0.0030120481927710845,South
ID,174,408,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,528.6,245,118.94,540.0,249,122.02,0.485469387755102,0.77,0.021111111111111112,0.004016064257028112,West
CA,116,415,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,613.1,331,105.63000000000001,624.7,334,108.76,0.3191238670694864,1.0433333333333332,0.01856891307827757,0.005988023952095809,West
MN,74,510,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,577.8,279,118.13,592.4,282,122.07,0.42340501792114693,1.3133333333333332,0.02464550979068197,0.0070921985815602835,Midwest
SD,149,408,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,634.0,209,119.91000000000001,646.6,212,123.31000000000002,0.573732057416268,1.1333333333333333,0.01948654500463965,0.014150943396226415,Midwest
NC,38,408,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,453.1,301,119.0,461.3,307,121.21,0.3953488372093023,0.36833333333333335,0.01777585085627574,0.006514657980456026,South
WA,40,415,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,531.7,264,98.03999999999999,537.9000000000001,269,99.71,0.37136363636363634,0.33399999999999996,0.011526306004833611,0.007434944237918215,West
WY,43,415,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,622.1,276,130.19,631.4,280,132.7,0.4717028985507246,0.6275,0.014729173265758634,0.0,West
MN,113,408,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,460.90000000000003,351,116.35999999999999,469.20000000000005,359,118.59999999999998,0.33150997150997147,0.28,0.017689684569479967,0.0,Midwest
UT,126,408,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,582.0,210,95.35,589.8,211,97.46,0.45404761904761903,2.11,0.013224821973550356,0.004739336492890996,West
TX,150,510,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,496.6,311,122.06,510.40000000000003,314,125.79,0.392475884244373,1.2433333333333334,0.027037617554858933,0.012738853503184714,South
NJ,138,408,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,707.6,280,120.78,719.4,287,123.97,0.4313571428571429,0.4557142857142857,0.016402557686961357,0.010452961672473868,Northeast
MN,162,510,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,667.7,242,124.46000000000001,679.8000000000001,244,127.73,0.5142975206611571,1.635,0.017799352750809058,0.0,Midwest
NM,147,510,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,570.0,277,103.42,578.0,281,105.58,0.37335740072202167,0.54,0.01384083044982699,0.010676156583629894,West
NV,90,415,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,582.5,368,172.13000000000002,589.8,372,174.10000000000002,0.4677445652173914,0.4925,0.012377076975245847,0.002688172043010753,West
HI,85,415,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,581.2,302,130.83,593.2,305,134.07000000000002,0.43321192052980134,1.08,0.020229265003371542,0.0,West
MN,50,415,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,561.8,273,117.14,567.9,275,118.79,0.4290842490842491,0.825,0.010741327698538475,0.0036363636363636364,Midwest
DC,82,415,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,751.4000000000001,282,136.54,763.1000000000001,286,139.7,0.48418439716312056,0.79,0.015332197614991478,0.0,south
NY,144,408,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,311.7,301,131.34,319.9,308,133.55,0.4363455149501661,0.3157142857142857,0.025633010315723664,0.012987012987012988,Northeast
MN,46,415,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,556.0,289,93.96,564.2,292,96.16999999999999,0.32512110726643595,0.7366666666666667,0.01453385324353066,0.00684931506849315,Midwest
MD,70,408,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,554.0,276,121.47999999999999,569.0,278,125.52999999999999,0.44014492753623186,2.025,0.026362038664323375,0.0035971223021582736,South
WV,144,415,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,728.6,292,134.88,741.8000000000001,294,138.44,0.46191780821917805,1.78,0.017794553788083037,0.003401360544217687,South
OR,116,415,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,698.7,292,133.94,711.3000000000001,297,137.34,0.4586986301369863,0.6799999999999999,0.017714044706874734,0.010101010101010102,West
CO,55,408,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,477.4,308,142.48,488.4,310,145.45,0.46259740259740256,1.485,0.022522522522522525,0.00967741935483871,West
GA,70,415,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,731.9,267,133.09,741.6999999999999,271,135.74,0.49846441947565545,0.6625,0.013212889308345695,0.0036900369003690036,South
TX,106,510,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,651.1999999999999,269,125.79,663.5999999999999,270,129.14000000000001,0.4676208178438662,3.35,0.018685955394816156,0.007407407407407408,South
VT,128,510,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,728.2,268,137.74,736.8000000000001,275,140.06,0.513955223880597,0.3314285714285714,0.011672095548317045,0.0,Northeast
IN,94,408,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,502.5,290,126.71000000000001,510.5,295,128.87,0.43693103448275866,0.43200000000000005,0.015670910871694418,0.013559322033898305,Midwest
WV,111,510,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,605.2,292,143.93,617.2,294,147.17000000000002,0.49291095890410963,1.62,0.019442644199611146,0.003401360544217687,South
KY,74,415,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,479.6,245,123.58,490.5,254,126.52,0.5044081632653061,0.32666666666666666,0.022222222222222223,0.007874015748031496,South
NJ,128,415,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,694.4,286,155.45000000000002,708.3,290,159.20000000000002,0.5435314685314686,0.9375,0.019624452915431315,0.0034482758620689655,Northeast
DC,82,510,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,448.4,260,82.5,459.5,262,85.5,0.3173076923076923,1.5,0.024156692056583242,0.003816793893129771,south
LA,155,415,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,590.3,323,125.05000000000001,599.1999999999999,327,127.45000000000002,0.3871517027863777,0.6,0.014853137516688921,0.0,South
AR,80,415,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,550.5,269,126.10000000000001,558.4,278,128.23000000000002,0.4687732342007435,0.23666666666666666,0.014147564469914041,0.0035971223021582736,South
ME,78,415,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,695.2,310,120.03999999999999,704.7,317,122.60999999999999,0.38722580645161286,0.3671428571428571,0.013480913864055626,0.00946372239747634,Northeast
AZ,90,415,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,497.4,243,92.95,508.0,250,95.81,0.38251028806584364,0.40857142857142853,0.020866141732283464,0.012,West
AK,104,408,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,522.5999999999999,356,120.23,532.3999999999999,361,122.88000000000001,0.3377247191011236,0.53,0.01840721262208866,0.002770083102493075,West
MT,73,415,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,547.5,254,135.96,560.5,258,139.47,0.5352755905511811,0.8775,0.0231935771632471,0.0,West
AZ,99,415,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,596.4,276,113.21000000000001,605.1,279,115.56,0.4101811594202899,0.7833333333333333,0.014377788795240454,0.014336917562724014,West
MS,120,408,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,588.7,331,156.32000000000002,594.0,336,157.75000000000003,0.47226586102719037,0.286,0.008922558922558922,0.002976190476190476,South
ID,77,415,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,732.7,307,101.86,742.5,314,104.51,0.3317915309446254,0.37857142857142856,0.0131986531986532,0.006369426751592357,West
IA,98,510,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,573.5999999999999,289,142.65,577.9999999999999,297,143.84,0.49359861591695503,0.14875,0.007612456747404846,0.013468013468013467,Midwest
MA,108,415,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,496.4,315,158.88,511.0,320,162.82,0.5043809523809524,0.788,0.02857142857142857,0.0,Northeast
VT,135,415,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,450.7,287,100.22,461.2,293,103.06,0.349198606271777,0.47333333333333333,0.02276669557675629,0.0,Northeast
KY,95,408,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,563.9000000000001,307,125.65,576.4000000000001,316,129.03,0.40928338762214983,0.37555555555555553,0.021686328938237333,0.0031645569620253164,South
IN,122,408,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,592.8,278,119.95,604.0999999999999,280,123.0,0.4314748201438849,1.525,0.018705512332395303,0.0035714285714285713,Midwest
AZ,95,408,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,615.3,278,89.46,627.0999999999999,282,92.64999999999999,0.32179856115107913,0.7975,0.0188167756338702,0.014184397163120567,West
MI,36,510,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,0,670.8,291,127.61,679.8,297,130.04,0.43852233676975944,0.405,0.01323918799646955,0.006734006734006734,Midwest
NM,93,510,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,499.4,332,154.73999999999998,509.2,335,157.39,0.4660843373493975,0.8833333333333333,0.0192458758837392,0.0029850746268656717,West
CO,141,415,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0,499.1,330,112.01,509.20000000000005,331,114.74000000000001,0.33942424242424246,2.73,0.01983503534956795,0.0030211480362537764,West
UT,157,408,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,619.1,319,113.42999999999999,628.7,326,116.02,0.3555799373040752,0.37,0.015269603944647684,0.009202453987730062,West
MI,120,408,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,601.4,269,132.32000000000002,609.6999999999999,277,134.56000000000003,0.49189591078066924,0.28,0.013613252419222571,0.0036101083032490976,Midwest
MA,103,415,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,631.1,302,146.01,643.7,304,149.41,0.48347682119205293,1.7,0.01957433587074724,0.006578947368421052,Northeast
AL,98,408,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,579.5999999999999,343,143.48,591.6999999999999,347,146.75,0.4183090379008746,0.8175,0.020449552137907726,0.011527377521613832,South
DE,125,408,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,580.5,312,136.66,593.8,319,140.25,0.4380128205128205,0.5128571428571428,0.022398113843044798,0.003134796238244514,South
AZ,63,415,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0,439.9,272,148.92999999999998,449.29999999999995,275,151.46999999999997,0.5475367647058823,0.8466666666666667,0.020921433340752284,0.0036363636363636364,West
